element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
au;44;R_PBC_FDR_type_autoimmune_liver_disease;(PBC Diagnosis) Demographics;Rare Liver (Auto imune);Type of autoimmune liver disease;checkbox
au;44;R_PSC_FDR_autoimmune_liver_diseaese;(PSC Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver diseases;radio
au;44;R_PSC_Desmet_and_Schauer_classification_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Desmet and Scheuer classification assessed;radio
au;44;R_AIH_Other_autoantibodies_followup;AIH Follow-up Autoantibodies;Rare Liver (Auto imune);Other autoantibodies;radio
au;44;abdominal_trauma;Diagnosis Aetiology;Rare Liver (Vascular);Abdominal trauma;radio
au;44;date_abdominal_trauma;Diagnosis Aetiology;Rare Liver (Vascular);Date of abdominal trauma;date
au;44;eos_death_cause;End of study End of study;Rare Liver (Vascular);Cause of death;radio
au;44;eos_death_death_cause_other;End of study End of study;Rare Liver (Vascular);Other cause:;string
au;44;eos_death_autopsy;End of study End of study;Rare Liver (Vascular);Autopsy performed;radio
au;44;"bladder augment 	Age (in days)	";2nd surgical procedure performed to check for and resect valve remnants: ;Eurogen (Posterior urethral valves);[Control];[Numeric (Integer)]
au;44;Number of Cafe au lait spot known?;subject;Genturis;Is the maximal number of Cafe au lait spots ever observed in the patient known?;enum
au;44;Number of Cafe au lait spot;subject;Genturis;What is the maximal number of cafe au lait spots ever observed in the patient?;int
au;44;age_diagnosis_auto;primary_cancer;EURACAN;Age at diagnosis (automatic);"rounddown(datediff([date_diagnosis],[birth_date],""y""))"
au;44;clinical_staging_auto_0;stage_procedures;EURACAN;Clinical staging (automatic) = 0;
au;44;clinical_staging_auto_1;stage_procedures;EURACAN;TESTING Clinical staging (automatic) = 0;
au;44;Cause of death;Follow up (one form for each follow up visit);PaedCan;if the patient is dead specfiy the cause of death;Dead of disease/dead for toxicity/dead for a second tumor/dead for other reason
au;44;Primary Cause Of Death;Patient Status;EuRR-Bone & EuRRECa;Main cause of death;dropdown
au;44;Date of initial creation of record ( author);Audit History;EuRR-Bone & EuRRECa;For audit trail;dd/mm/yyyy
au;44;Revision of record (authors);Audit History;EuRR-Bone & EuRRECa;For audit trail;dd/mm/yyyy
au;44;Autoimmune polyendocrinopathy type 1;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 1;
au;44;Autoimmune polyendocrinopathy type 2;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 2;
au;44;Autoimmune polyendocrinopathy type 4;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 4;
au;44;Autoimmune hypoparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autoimmune hypoparathyroidism;
au;44;Autoimmune polyendocrinopathy type 1;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 1;
au;44;Autosomal recessive infantile hypercalcaemia;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal recessive infantile hypercalcaemia;
au;44;Autosomal dominant hypophosphataemic rickets;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal dominant hypophosphataemic rickets;
au;44;Autosomal recessive hypophosphataemic rickets;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal recessive hypophosphataemic rickets;
au;44;Autoimmune polyglandular syndrome I;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome I;
au;44;Autoimmune polyglandular syndrome II;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome II;
au;44;Autosomal dominant hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to SUR1 deficiency;
au;44;Autosomal dominant hyperinsulinism due to Kir6.2 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to Kir6.2 deficiency;
au;44;Autosomal recessive hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to SUR1 deficiency;
au;44;Autosomal recessive hyperinsulinism due to Kir6.2 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to Kir6.2 deficiency;
au;44;Von Hippel-Lindau disease;GENETIC ENDOCRINE TUMOURS;EuRR-Bone & EuRRECa;Von Hippel-Lindau disease;
au;44;Mazabraud syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Mazabraud syndrome ;
au;44;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;
au;44;Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ;
au;44;Was a causative gene abnormality identified?;Genetic diagnosis;ERKNet; ;gen_diagnosis
augment;1;"bladder augment 	Age (in days)	";2nd surgical procedure performed to check for and resect valve remnants: ;Eurogen (Posterior urethral valves);[Control];[Numeric (Integer)]
author;2;Date of initial creation of record ( author);Audit History;EuRR-Bone & EuRRECa;For audit trail;dd/mm/yyyy
author;2;Revision of record (authors);Audit History;EuRR-Bone & EuRRECa;For audit trail;dd/mm/yyyy
authors;1;Revision of record (authors);Audit History;EuRR-Bone & EuRRECa;For audit trail;dd/mm/yyyy
auto;26;R_AIH_FDR_with_autoimmune_liver_disease;(AIH Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver disease;radio
auto;26;R_AIH_FDR_type_autoimmune_liver_disease;(AIH Diagnosis) Demographics;Rare Liver (Auto imune);Type of autoimmune liver disease?;checkbox
auto;26;R_AIH_Other_autoantibodies;(AIH Diagnosis) Autoantibodies;Rare Liver (Auto imune);Other autoantibodies;radio
auto;26;R_PBC_FDR_with_autoimmune_liver_disease;(PBC Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver disease;radio
auto;26;R_PBC_FDR_type_autoimmune_liver_disease;(PBC Diagnosis) Demographics;Rare Liver (Auto imune);Type of autoimmune liver disease;checkbox
auto;26;R_PSC_FDR_autoimmune_liver_diseaese;(PSC Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver diseases;radio
auto;26;R_AIH_Other_autoantibodies_followup;AIH Follow-up Autoantibodies;Rare Liver (Auto imune);Other autoantibodies;radio
auto;26;eos_death_autopsy;End of study End of study;Rare Liver (Vascular);Autopsy performed;radio
auto;26;age_diagnosis_auto;primary_cancer;EURACAN;Age at diagnosis (automatic);"rounddown(datediff([date_diagnosis],[birth_date],""y""))"
auto;26;clinical_staging_auto_0;stage_procedures;EURACAN;Clinical staging (automatic) = 0;
auto;26;clinical_staging_auto_1;stage_procedures;EURACAN;TESTING Clinical staging (automatic) = 0;
auto;26;Autoimmune polyendocrinopathy type 1;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 1;
auto;26;Autoimmune polyendocrinopathy type 2;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 2;
auto;26;Autoimmune polyendocrinopathy type 4;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 4;
auto;26;Autoimmune hypoparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autoimmune hypoparathyroidism;
auto;26;Autoimmune polyendocrinopathy type 1;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 1;
auto;26;Autosomal recessive infantile hypercalcaemia;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal recessive infantile hypercalcaemia;
auto;26;Autosomal dominant hypophosphataemic rickets;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal dominant hypophosphataemic rickets;
auto;26;Autosomal recessive hypophosphataemic rickets;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal recessive hypophosphataemic rickets;
auto;26;Autoimmune polyglandular syndrome I;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome I;
auto;26;Autoimmune polyglandular syndrome II;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome II;
auto;26;Autosomal dominant hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to SUR1 deficiency;
auto;26;Autosomal dominant hyperinsulinism due to Kir6.2 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to Kir6.2 deficiency;
auto;26;Autosomal recessive hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to SUR1 deficiency;
auto;26;Autosomal recessive hyperinsulinism due to Kir6.2 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to Kir6.2 deficiency;
auto;26;Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ;
autoantibodies;2;R_AIH_Other_autoantibodies;(AIH Diagnosis) Autoantibodies;Rare Liver (Auto imune);Other autoantibodies;radio
autoantibodies;2;R_AIH_Other_autoantibodies_followup;AIH Follow-up Autoantibodies;Rare Liver (Auto imune);Other autoantibodies;radio
autoimmune;12;R_AIH_FDR_with_autoimmune_liver_disease;(AIH Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver disease;radio
autoimmune;12;R_AIH_FDR_type_autoimmune_liver_disease;(AIH Diagnosis) Demographics;Rare Liver (Auto imune);Type of autoimmune liver disease?;checkbox
autoimmune;12;R_PBC_FDR_with_autoimmune_liver_disease;(PBC Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver disease;radio
autoimmune;12;R_PBC_FDR_type_autoimmune_liver_disease;(PBC Diagnosis) Demographics;Rare Liver (Auto imune);Type of autoimmune liver disease;checkbox
autoimmune;12;R_PSC_FDR_autoimmune_liver_diseaese;(PSC Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver diseases;radio
autoimmune;12;Autoimmune polyendocrinopathy type 1;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 1;
autoimmune;12;Autoimmune polyendocrinopathy type 2;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 2;
autoimmune;12;Autoimmune polyendocrinopathy type 4;ADRENAL;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 4;
autoimmune;12;Autoimmune hypoparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autoimmune hypoparathyroidism;
autoimmune;12;Autoimmune polyendocrinopathy type 1;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autoimmune polyendocrinopathy type 1;
autoimmune;12;Autoimmune polyglandular syndrome I;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome I;
autoimmune;12;Autoimmune polyglandular syndrome II;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome II;
autopsy;1;eos_death_autopsy;End of study End of study;Rare Liver (Vascular);Autopsy performed;radio
autosomal;8;Autosomal recessive infantile hypercalcaemia;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal recessive infantile hypercalcaemia;
autosomal;8;Autosomal dominant hypophosphataemic rickets;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal dominant hypophosphataemic rickets;
autosomal;8;Autosomal recessive hypophosphataemic rickets;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Autosomal recessive hypophosphataemic rickets;
autosomal;8;Autosomal dominant hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to SUR1 deficiency;
autosomal;8;Autosomal dominant hyperinsulinism due to Kir6.2 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to Kir6.2 deficiency;
autosomal;8;Autosomal recessive hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to SUR1 deficiency;
autosomal;8;Autosomal recessive hyperinsulinism due to Kir6.2 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to Kir6.2 deficiency;
autosomal;8;Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ;
availability;2;Data availability;subject;Genturis;What clinical data is locally available for this patient?;categoricalmref
availability;2;Material availability;subject;Genturis;What material is locally available for this patient?;categoricalmref
available;15;R_AIH_Simplified_AIH_score_available;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Full simplified AIH score available;radio
available;15;R_PBC_Simplified_AIH_score_available;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Full simplified AIH score available;radio
available;15;R_PSC_Simplified_AIH_score_available;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Full simplified AIH score available;radio
available;15;Age at diagnosis (benign) available?;benignNeoplasm;Genturis;Is the age (years) at which the patient was diagnosed with this benign tumour known?;enum
available;15;Age at diagnosis (malignancy) available?;malignancy;Genturis;Is the age (years) at which the patient was diagnosed with this malignancy known?;enum
available;15;Year of birth available?;subject;Genturis;Is the year of birth of the patient known?;enum
available;15;Year of death available?;subject;Genturis;Is the year of death of the patient known?;enum
available;15;Year of lost to follow up available?;subject;Genturis;Is the year of lost to follow up of the patient known?;enum
available;15;Year of opted-out available?;subject;Genturis;Is the year of opted-out of the patient known?;enum
available;15;Age at colonoscopy available?;subject;Genturis;Is the age (years) at which the patient had the last colonoscopy known?;enum
available;15;Age at first symptoms available?;subject;Genturis;Is the age (years) at which the patient had his/her first symptoms known?;enum
available;15;Patient's biological sample available for research ;;ithaca;;bool
available;15;"Other;  what patient Data is available";;ithaca;;categoricalmref
available;15;Biological sample available for research;Pathology;PaedCan;Patient’s biological sample available;yes/no
available;15;Biobank sample available for research ;Research;EuRR-Bone & EuRRECa;Patient has a sample stored in a biobank for research to be used subject to further ethics approval;Y/N/NK - LOINC Code: 75520-7
awd;3;fu_awd_local;clinical_update;EURACAN;AWD, Local;1, Yes | 2, No | 3, Unknown
awd;3;fu_awd_regional;clinical_update;EURACAN;AWD, Regional;1, Yes | 2, No | 3, Unknown
awd;3;fu_awd_metastatic;clinical_update;EURACAN;AWD, Metastatic;1, Yes | 2, No | 3, Unknown
aza;39;R_AIH_Azathioprine;(AIH Diagnosis) Treatment within 12 weeks from diagnosis;Rare Liver (Auto imune);Azathioprine;radio
aza;39;R_AIH_Azathioprine_dose;(AIH Diagnosis) Treatment within 12 weeks from diagnosis;Rare Liver (Auto imune);Azathioprine dose;numeric
aza;39;R_AIH_Azathioprine_primary_indication;(AIH Diagnosis) Treatment within 12 weeks from diagnosis;Rare Liver (Auto imune);Primary indication;radio
aza;39;R_PBC_Azathioprine;(PBC Diagnosis) Treatment within 12 weeks after diagnosis;Rare Liver (Auto imune);Azathioprine;radio
aza;39;R_PBC_Azathioprine_dose;(PBC Diagnosis) Treatment within 12 weeks after diagnosis;Rare Liver (Auto imune);Azathioprine dose;numeric
aza;39;R_PBC_AIH_Azathioprine_primary_indication;(PBC Diagnosis) Treatment within 12 weeks after diagnosis;Rare Liver (Auto imune);Primary indication;radio
aza;39;R_PSC_Azathioprine;(PSC Diagnosis) Treatment within 12 weeks after diagnosis;Rare Liver (Auto imune);Azathioprine;radio
aza;39;R_PSC_Azathioprine_dose;(PSC Diagnosis) Treatment within 12 weeks after diagnosis;Rare Liver (Auto imune);Azathioprine dose;numeric
aza;39;R_PSC_Azathioprine_primary_indication;(PSC Diagnosis) Treatment within 12 weeks after diagnosis;Rare Liver (Auto imune);Primary indication;radio
aza;39;R_AIH_Azathioprine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
aza;39;R_AIH_Azathioprine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
aza;39;R_AIH_Azathioprine_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
aza;39;R_AIH_Azathioprine_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
aza;39;R_AIH_Azathioprine_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine dose;numeric
aza;39;R_AIH_Azathioprine_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
aza;39;R_AIH_Azathioprine_metabolites_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine metabolites;radio
aza;39;R_PSC_Azathioprine_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Azathioprine;radio
aza;39;R_PSC_Azathioprine_dose_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Azathioprine dose;numeric
